"","sampling_site","field_mission","num_of_quads","area_sampled","num_clusters","site_area_m2"
"1","Diokhor 1",1,15,5.516118,1,1161
"2","Diokhor 1",2,14,5.1483768,0,1161
"3","Diokhor 1",3,15,5.516118,1,1724.486
"4","Diokhor 1",4,15,5.516118,1,1827.11458
"5","Diokhor 1",5,15,5.516118,1,2035.982479
"6","Diokhor 1",6,15,5.516118,1,1767.789486
"7","Diokhor 2",1,15,5.516118,1,1503
"8","Diokhor 2",2,15,5.516118,1,1503
"9","Diokhor 2",3,15,5.516118,0,1644.574
"10","Diokhor 2",4,16,5.8838592,2,1623.766477
"11","Diokhor 2",5,15,5.516118,1,1647.121628
"12","Diokhor 2",6,15,5.516118,1,1474.451664
"13","Diokoul 1",1,16,5.8838592,0,2197
"14","Diokoul 1",2,15,5.516118,1,2728
"15","Diokoul 1",3,15,5.516118,1,4845.031
"16","Diokoul 1",4,15,5.516118,1,4963.22088
"17","Diokoul 1",5,15,5.516118,2,4799.938856
"18","Diokoul 1",6,16,5.8838592,2,4597.253401
"19","Diokoul 2",1,15,5.516118,0,292
"20","Diokoul 2",2,15,5.516118,2,368
"21","Diokoul 2",3,15,5.516118,1,651.07
"22","Diokoul 2",4,15,5.516118,1,650.472584
"23","Diokoul 2",5,15,5.516118,1,664.542801
"24","Diokoul 2",6,15,5.516118,0,572.685747
"25","Malla Tack 1",1,16,5.8838592,1,2061
"26","Malla Tack 1",2,15,5.516118,0,1346
"27","Malla Tack 1",3,15,5.516118,2,5254.435
"28","Malla Tack 1",4,15,5.516118,0,5256.582158
"29","Malla Tack 1",5,15,5.516118,0,5256.852177
"30","Malla Tack 1",6,15,5.516118,1,4773.401382
"31","Malla Tack 2",1,15,5.516118,0,162
"32","Malla Tack 2",2,15,5.516118,0,206
"33","Malla Tack 2",3,15,5.516118,0,660.234
"34","Malla Tack 2",4,15,5.516118,0,659.303085
"35","Malla Tack 2",5,15,5.516118,0,670.067596
"36","Malla Tack 2",6,15,5.516118,0,584.463168
"37","Malla Tack 3",1,11,4.0451532,1,563
"38","Malla Tack 3",2,15,5.516118,1,224
"39","Malla Tack 3",3,15,5.516118,1,501.389
"40","Malla Tack 3",4,15,5.516118,0,507.597402
"41","Malla Tack 3",5,15,5.516118,0,545.278089
"42","Malla Tack 3",6,14,5.1483768,0,510.464856
"43","Merina Gewel 1",1,13,4.7806356,0,500
"44","Merina Gewel 1",2,15,5.516118,0,821
"45","Merina Gewel 1",3,15,5.516118,0,1213.003
"46","Merina Gewel 1",4,15,5.516118,0,1320.058957
"47","Merina Gewel 1",5,15,5.516118,0,1173.488162
"48","Merina Gewel 1",6,15,5.516118,0,1045.355519
"49","Merina Gewel 2",1,11,4.0451532,0,95.3
"50","Merina Gewel 2",2,15,5.516118,0,136
"51","Merina Gewel 2",3,15,5.516118,0,431.818
"52","Merina Gewel 2",4,15,5.516118,0,433.392582
"53","Merina Gewel 2",5,15,5.516118,0,441.677202
"54","Merina Gewel 2",6,15,5.516118,0,404.6636
"55","Merina Gewel 3",1,10,3.677412,0,134
"56","Merina Gewel 3",2,15,5.516118,0,158
"57","Merina Gewel 3",3,15,5.516118,0,130.96
"58","Merina Gewel 3",4,15,5.516118,0,128.289921
"59","Merina Gewel 3",5,15,5.516118,0,151.404395
"60","Merina Gewel 3",6,10,3.677412,0,104.863783
"61","Merina Gewel 4",1,16,5.8838592,0,680
"62","Merina Gewel 4",2,15,5.516118,0,836
"63","Merina Gewel 4",3,15,5.516118,0,1044.993
"64","Merina Gewel 4",4,15,5.516118,0,1322.486924
"65","Merina Gewel 4",5,15,5.516118,0,1044.571784
"66","Merina Gewel 4",6,15,5.516118,0,827.247927
"67","Ndiawdoune",1,15,5.516118,1,588
"68","Ndiawdoune",2,15,5.516118,1,659
"69","Ndiawdoune",3,15,5.516118,1,1386.967
"70","Ndiawdoune",4,13,4.7806356,1,1217.236093
"71","Ndiawdoune",5,15,5.516118,2,1236.214431
"72","Ndiawdoune",6,15,5.516118,0,1059.698888
"73","Ndiol Maure",1,15,5.516118,2,1515
"74","Ndiol Maure",2,15,5.516118,2,1515
"75","Ndiol Maure",3,15,5.516118,1,2691.446
"76","Ndiol Maure",4,15,5.516118,0,2692.621302
"77","Ndiol Maure",5,15,5.516118,1,2689.929569
"78","Ndiol Maure",6,15,5.516118,1,2653.619158
"79","Syer 1",1,15,5.516118,2,1720
"80","Syer 1",2,15,5.516118,0,1720
"81","Syer 1",3,15,5.516118,2,3489.253
"82","Syer 1",4,15,5.516118,2,3457.389228
"83","Syer 1",5,15,5.516118,1,3739.479333
"84","Syer 1",6,15,5.516118,1,3279.804851
"85","Syer 2",1,14,5.1483768,0,1793
"86","Syer 2",2,15,5.516118,1,1793
"87","Syer 2",3,15,5.516118,1,3318.237
"88","Syer 2",4,15,5.516118,0,3398.008616
"89","Syer 2",5,15,5.516118,1,3334.239183
"90","Syer 2",6,15,5.516118,1,3003.451913
