,Model,AIC,dAIC,AICw,AICc,dAICc,AICcw,BIC,dBIC,BICw,MSE,dMSE,RMSE,dRMSE,Formula
Model1,1,11596.07679,53.1262521,2.54E-12,11596.1616,52.9628308,2.74E-12,11639.61673,29.66659739,2.14E-07,8404.16279,898.942925,91.67422097,5.041548926,ShW ~ Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model2,2,11593.7657,50.81516045,8.06E-12,11593.87177,50.67300303,8.62E-12,11642.74813,32.79799846,4.47E-08,8392.73146,887.5115946,91.61185218,4.979180137,ShW ~ BulinusDens_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model3,3,11593.99253,51.04198628,7.20E-12,11594.0986,50.89982886,7.70E-12,11642.97496,33.02482429,4.00E-08,8354.682901,849.4630358,91.40395452,4.771282473,ShW ~ ShPrev_Bulinus_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model4,4,11581.24055,38.29000687,4.23E-09,11581.37026,38.1714969,4.47E-09,11635.66547,25.7153376,1.54E-06,7871.59208,366.3722147,88.72199321,2.089321172,ShW ~ BulinusDens_sc + TotalSize_enclosure_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model5,5,11578.23897,35.28842746,1.90E-08,11578.34504,35.14627005,2.03E-08,11627.2214,17.27126548,0.000105288,8209.904576,704.6847108,90.60852375,3.975851707,ShW ~ BulinusTotal_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model6,6,11574.51654,31.5660043,1.22E-07,11574.6723,31.47352956,1.27E-07,11634.38396,24.43382776,2.93E-06,7741.390382,236.1705164,87.98517137,1.352499331,ShW ~ BulinusDens_sc + TotalSize_enclosure_sc + ShPrev_Bulinus_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model7,7,11579.32427,36.37373195,1.10E-08,11579.43034,36.23157453,1.18E-08,11628.30671,18.35656996,6.12E-05,8072.058819,566.8389533,89.84463712,3.211965074,ShW ~ ShBulinus_Total_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model8,8,11586.81613,43.86558665,2.60E-10,11586.94584,43.74707668,2.75E-10,11641.24105,31.29091738,9.51E-08,8304.916007,799.6961417,91.13131189,4.498639848,ShW ~ BulinusDens_sc + ShPrev_Bulinus_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model9,9,11593.75992,50.80938107,8.09E-12,11593.86599,50.66722365,8.65E-12,11642.74236,32.79221908,4.49E-08,8321.95321,816.7333448,91.22474012,4.592068078,ShW ~ ShBulinusDens_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model10,10,11552.15839,9.207845412,0.008739726,11552.31414,9.115370674,0.009114015,11612.02581,2.075668868,0.209923256,7571.504076,66.28421092,87.01439005,0.38171801,ShW ~ TotalSize_enclosure_sc + PercOther_sc + PercMud_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model11,11,11555.52521,12.57466927,0.001623309,11555.65493,12.4561593,0.00171501,11609.95014,0,0.592633668,7634.687315,129.4674498,87.37669778,0.744025738,ShW ~ OtherVegTotal_sc + MudTotal_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model12,12,11546.97403,4.023488901,0.116752589,11547.15821,3.959441408,0.120034348,11612.28394,2.33380508,0.18450451,7564.999396,59.7795303,86.97700498,0.344332939,ShW ~ TotalSize_enclosure_sc + PercOther_sc + PercMud_sc + VegMassAvg_sampled_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model13,13,11569.90416,26.95361627,1.22E-06,11570.01023,26.81145886,1.31E-06,11618.88659,8.936454283,0.006796103,8170.808665,665.5887993,90.39252549,3.759853448,ShW ~ VegMassTotal_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model14,14,11542.95054,0,0.872882995,11543.19877,0,0.869135154,11619.14544,9.195301624,0.005971067,7505.219865,0,86.63267204,0,ShW ~ TotalSize_enclosure_sc + PercOther_sc + PercMud_sc + VegMassAvg_sampled_sc + BulinusDens_sc + ShPrev_Bulinus_sc + Class + sex + Pop_sc + LakeYN + (1 | Village/ID)
Model15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7507.524991,2.305125934,86.64597504,0.013303001,avgAIC
Model16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7507.606572,2.386707034,86.64644581,0.013773772,avgAICc
Model17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7581.30097,76.08110457,87.07066653,0.437994486,avgBIC
