"","names","mean_mode","sd_vals","percent_na"
"cont_covar_emergent_stems_cleaned","cont_covar_emergent_stems_cleaned",1.29212310902452,4.85125358069971,0.00260145681581686
"cont_covar_floating_veg_g_cleaned","cont_covar_floating_veg_g_cleaned",199.755091383812,455.068287581675,0.0036420395421436
"cont_covar_secchi_depth_cm","cont_covar_secchi_depth_cm",43.372312532774,12.2075368085745,0.00780437044745057
"cont_covar_pH","cont_covar_pH",7.29108796296296,0.374767061124657,0.100936524453694
"cont_covar_nitrate_mg.L_NO3","cont_covar_nitrate_mg.L_NO3",2.32004315659679,1.50934757528208,0.156087408949011
"cont_covar_nitrite_mg.L_NO2","cont_covar_nitrite_mg.L_NO2",0.0645084566596194,0.325532588765443,0.0156087408949011
"cont_covar_phosphate_mg.L_PO4","cont_covar_phosphate_mg.L_PO4",0.389006444683136,0.472404223764062,0.0312174817898023
"cont_covar_depth_cm_cleaned_agg","cont_covar_depth_cm_cleaned_agg",37.0918260416667,17.6460072667297,0.00104058272632674
"cont_covar_floating_vs_emergent","cont_covar_floating_vs_emergent",257.203451882845,1857.73625288233,0.00520291363163371
"cat_covar_lake_river","cat_covar_lake_river",1,NA,0
"cat_covar_typha","cat_covar_typha",0,NA,0.00156087408949011
"cat_covar_phrag","cat_covar_phrag",0,NA,0.00104058272632674
"cat_covar_cyperus","cat_covar_cyperus",0,NA,0.00104058272632674
"cat_covar_poa_grass","cat_covar_poa_grass",0,NA,0.00104058272632674
"cat_covar_ludwigia","cat_covar_ludwigia",0,NA,0.00104058272632674
"cat_covar_nymphaea","cat_covar_nymphaea",0,NA,0.00104058272632674
"cat_covar_salvinia","cat_covar_salvinia",0,NA,0.00104058272632674
"cat_covar_ceratophyllum","cat_covar_ceratophyllum",0,NA,0.00104058272632674
"cat_covar_potamogeton","cat_covar_potamogeton",0,NA,0.00104058272632674
"cat_covar_pistia","cat_covar_pistia",0,NA,0.00104058272632674
"cat_covar_azolla","cat_covar_azolla",0,NA,0.239854318418314
"cat_covar_ipomea","cat_covar_ipomea",0,NA,0.239854318418314
"cat_covar_lemna","cat_covar_lemna",0,NA,0.651925078043704
